Participants,Mass,Speed,lateral_kjcf_peak_withNA_noOut,medial_kjcf_first_peak_withNA_noOut,medial_kjcf_second_peak_withNA_noOut,total_kjcf_first_peak_withNA_noOut,total_kjcf_second_peak_withNA_noOut
1,30,Moderate,2.137414105,4.093077876,3.436926558,2.951547069,4.858771462
2,30,Moderate,2.412498707,5.113247976,3.399232887,5.573896816,5.26060409
3,30,Moderate,3.130957221,2.756204191,2.808118614,2.951547069,4.818317601
4,30,Moderate,2.410519046,3.811129854,2.572865418,4.159138827,4.786397439
5,30,Moderate,3.585348129,3.201610951,1.212993342,3.210598773,4.80626956
6,30,Moderate,3.130957221,3.581233085,1.465013456,2.062988209,4.083188674
7,30,Moderate,1.353467213,2.111839231,3.930189453,3.316055178,3.359175925
8,30,Moderate,3.57023655,4.531343564,1.465013456,4.837693524,6.89697383
9,30,Moderate,2.779271894,2.472214726,1.299280015,3.235362919,3.109223287
10,30,Moderate,2.877466268,3.447345818,3.489045552,4.198259442,6.354915558
11,30,Moderate,1.780577846,3.492587858,2.288174667,3.743032719,6.89697383
12,30,Moderate,3.006399838,4.093077876,2.3397243,4.30184983,5.014489356
13,30,Moderate,3.175109795,2.756204191,1.499638445,2.956459638,4.722462761
14,30,Moderate,2.767665017,2.963438843,1.586995281,3.375438118,4.257914128
15,30,Moderate,3.305683319,2.626615592,3.168365792,3.255413898,4.779389978
16,30,Moderate,1.989323849,3.581233085,2.986861086,5.016028703,8.04088637
17,30,Moderate,2.606306655,3.657555349,2.36853186,4.596449434,4.995523932
18,30,Moderate,3.888140024,4.220465568,3.436926558,6.111726311,8.194673586
19,30,Moderate,1.897013498,2.579148656,1.465013456,3.162103143,3.296202952
20,30,Moderate,2.704380163,3.966788272,2.288174667,4.678703321,5.642299736
1,30,Fast,2.295914194,2.469940933,3.296027174,2.57677318,3.457685644
2,30,Fast,1.989323849,3.82959396,2.729423382,4.42621843,5.176583007
3,30,Fast,4.215691446,2.469940933,3.296027174,4.636570184,4.221178878
4,30,Fast,2.689590872,4.182707564,2.306669432,4.654978219,4.94890449
5,30,Fast,3.540667929,3.770563079,1.402116354,4.42621843,4.963069427
6,30,Fast,3.810252952,3.770563079,1.642471258,4.20196013,6.645657484
7,30,Fast,1.592176769,2.469940933,3.473297902,3.740631365,3.822119225
8,30,Fast,2.907746321,4.358834056,3.205082723,4.636570184,8.289585511
9,30,Fast,2.907746321,4.358834056,1.642471258,5.921380199,4.221178878
10,30,Fast,3.006817452,3.82959396,3.230096614,4.20196013,6.215347166
11,30,Fast,2.127367661,3.769307093,0.740652629,4.441732996,3.606671729
12,30,Fast,3.13516526,5.047942241,1.24776011,5.748033389,4.474434726
13,30,Fast,3.038052865,3.875463557,0.711525728,4.109812932,3.900188554
14,30,Fast,2.907746321,4.457919981,1.642471258,4.900342299,4.841296014
15,30,Fast,1.968037651,5.106893102,2.706411776,5.921380199,4.42464966
16,30,Fast,1.886438359,3.505339662,1.034830783,5.921380199,6.89697383
17,30,Fast,3.00913847,3.954873318,3.078212451,5.315754929,5.650913302
18,30,Fast,4.499700549,5.199139801,4.116557232,5.667910933,8.411101838
19,30,Fast,2.631980307,3.505339662,3.550996209,3.744631465,6.155781455
20,30,Fast,2.997726492,4.15327151,1.317281313,5.016792951,5.732373768
