Participants,Armour,Mass,Speed,lateral_kjcf_peak_noOut,medial_kjcf_first_peak_noOut,medial_kjcf_second_peak_noOut,total_kjcf_first_peak_noOut,total_kjcf_second_peak_noOut,vest_fit_f,vest_comfort_f,offset_f,belt_fit_f,belt_comfort_f,shoulders_comf_f,hips_comf_f,knees_comf_f
12,cARM1,15,Moderate,2.674121694,3.520788142,2.479636044,3.964240806,4.623556777,1,1,1,1,1,1,1,0
13,cARM1,15,Moderate,2.711064344,2.868858513,0.370076695,3.061342049,3.720110453,1,1,1,1,1,0,0,0
14,cARM1,15,Moderate,2.916855828,3.563740713,1.538127844,4.673087901,4.539171412,1,1,1,1,1,1,0,0
15,cARM1,15,Moderate,1.443706341,3.009334667,2.642499606,3.584559766,3.711453999,1,1,1,1,1,1,0,0
16,cARM1,15,Moderate,3.337263619,4.483185547,4.25621341,5.198580338,6.845584467,1,1,1,1,1,0,0,0
17,cARM1,15,Moderate,2.508434345,3.267159765,3.489178081,4.634531388,4.056393202,1,1,1,1,1,1,1,1
18,cARM1,15,Moderate,3.813548964,3.235450789,4.483011556,5.059634859,7.876777048,0,0,1,1,1,1,0,0
19,cARM1,15,Moderate,1.831676377,2.505845755,1.997627398,2.902019196,3.284037538,1,1,1,1,0,0,1,0
20,cARM1,15,Moderate,2.400863098,2.182899041,2.950944151,2.52923871,4.578571004,1,1,1,1,1,1,1,1
1,cARM1,30,Moderate,4.830206917,3.562118315,2.03705048,2.790513663,6.78243533,1,1,1,1,1,1,1,0
2,cARM1,30,Moderate,4.03181719,4.978083911,1.30558921,5.670094142,5.262090952,1,1,1,1,1,1,1,0
3,cARM1,30,Moderate,3.991471885,5.438566349,1.519717658,6.350145717,7.522752561,1,1,1,1,1,1,1,0
4,cARM1,30,Moderate,2.876884346,3.888668499,1.772779364,4.36428062,4.291081385,1,1,1,1,1,1,1,0
5,cARM1,30,Moderate,2.507186354,3.701927175,2.200729538,4.211466858,4.887655217,1,1,0,1,1,1,1,0
6,cARM1,30,Moderate,3.775562207,3.62639433,1.812957938,7.239740094,5.23720496,0,0,1,1,0,1,1,0
7,cARM1,30,Moderate,1.966662166,2.64400411,3.457858307,2.685415445,5.532869485,1,1,1,1,1,1,0,0
8,cARM1,30,Moderate,3.613029123,3.309362278,3.078212451,6.92718852,5.792777562,0,0,0,0,0,1,1,1
9,cARM1,30,Moderate,3.064832384,2.063409756,1.34023167,3.375226799,3.652358284,1,1,1,0,0,1,1,0
10,cARM1,30,Moderate,3.420087156,3.093568532,3.709281256,4.26802402,7.107449652,0,1,1,1,1,1,1,0
11,cARM1,30,Moderate,1.856596504,3.309362278,3.533370393,3.13995946,5.331353861,1,1,1,0,0,1,1,0
12,cARM1,30,Moderate,3.236041537,5.225288384,4.020972158,6.683755569,6.578596658,1,1,1,1,1,1,1,0
13,cARM1,30,Moderate,2.494681593,3.326373339,1.204500857,3.902765393,4.632733435,1,1,1,1,1,1,1,0
14,cARM1,30,Moderate,2.557496033,3.491932806,1.814243146,3.999035065,4.115650782,1,1,1,1,1,1,1,1
15,cARM1,30,Moderate,2.402798948,3.036274923,3.040746717,3.431936331,4.690264028,1,0,1,1,1,1,1,0
16,cARM1,30,Moderate,2.09333818,3.318991314,4.173759404,4.360435698,7.84364074,1,1,1,1,1,1,1,1
17,cARM1,30,Moderate,3.540089598,3.332131259,5.648912858,6.620210706,4.188504716,1,1,1,1,1,1,0,0
18,cARM1,30,Moderate,3.912352731,3.628679548,4.933198781,5.636937372,5.902209491,0,1,1,1,1,0,1,0
19,cARM1,30,Moderate,2.40943304,4.069433607,2.259367182,4.783626913,4.677277651,1,1,1,1,1,0,0,0
20,cARM1,30,Moderate,2.580134884,4.638050375,3.142800366,5.240765251,5.814105955,1,1,1,0,0,1,1,0
1,cARM2,15,Fast,2.821572446,4.690099709,1.40263136,6.117800509,3.485180536,1,1,1,0,0,1,1,0
2,cARM2,15,Fast,2.680810694,4.971173497,0.852728194,6.506815408,3.863065206,1,1,1,1,1,0,1,0
3,cARM2,15,Fast,3.754361851,4.754376857,1.40263136,6.117800509,5.769160685,1,1,1,1,1,1,1,0
4,cARM2,15,Fast,1.886387939,3.727384442,1.78516566,4.741315868,3.940638538,1,1,1,1,1,1,1,0
5,cARM2,15,Fast,2.501544735,4.115490585,1.662572302,5.123245442,4.438792977,0,1,0,0,0,1,1,1
6,cARM2,15,Fast,3.638979244,4.043972975,2.675791407,4.253052112,6.194078718,1,1,1,1,1,0,0,0
