Participants,Armour,Mass,Speed,lateral_kjcf_peak_noOut,medial_kjcf_first_peak_noOut,medial_kjcf_second_peak_noOut,total_kjcf_first_peak_noOut,total_kjcf_second_peak_noOut,vest_fit_f,vest_comfort_f,offset_f,belt_fit_f,belt_comfort_f,shoulders_comf_f,hips_comf_f,knees_comf_f
13,pARM1,15,Moderate,1.857038908,2.985389485,0.71570367,3.213376219,2.963571103,1,1,1,1,0,0,1,0
14,pARM1,15,Moderate,2.530690659,2.546988588,1.476606945,2.641850996,3.516653513,1,1,1,1,1,0,0,0
15,pARM1,15,Moderate,1.380599899,2.714652749,3.483226122,4.020872728,2.754643923,1,1,1,0,0,1,1,1
16,pARM1,15,Moderate,4.562437445,2.053343457,3.186103515,5.99028312,4.257867307,1,1,1,0,1,0,1,0
17,pARM1,15,Moderate,3.483470836,2.628757676,2.385804713,3.967144467,4.181589893,1,1,1,1,1,1,0,0
18,pARM1,15,Moderate,3.084756135,3.532316264,4.882580218,5.384342047,7.654555552,1,1,1,1,1,0,0,0
19,pARM1,15,Moderate,3.155436656,2.677513001,0.879472918,3.685802085,2.488173836,1,1,1,1,1,0,0,0
20,pARM1,15,Moderate,2.538299397,3.945771261,2.691116025,4.68473654,5.354811882,1,1,0,1,1,1,0,0
1,pARM1,30,Moderate,2.275284897,3.980132291,2.578124322,4.31380863,5.147891914,1,1,1,0,0,1,1,0
2,pARM1,30,Moderate,2.663740238,4.427955238,2.070385404,4.754068927,4.541994024,1,1,1,0,0,1,1,0
3,pARM1,30,Moderate,3.813548964,2.811374305,0.850074497,3.409246438,8.194673586,1,1,1,0,0,1,1,0
4,pARM1,30,Moderate,2.109633271,4.32323093,2.883790237,5.019370533,4.456001659,0,0,1,0,0,1,1,1
5,pARM1,30,Moderate,2.879209963,4.153942042,1.465123829,5.244853156,4.771225437,0,0,1,0,0,1,1,1
6,pARM1,30,Moderate,3.555715605,3.894926892,5.115471868,6.778019648,5.540545466,0,0,1,0,0,1,0,0
7,pARM1,30,Moderate,1.597393551,2.904354423,3.086707792,3.382456842,4.26735308,1,1,1,1,1,0,0,0
8,pARM1,30,Moderate,2.786720567,3.274694886,3.086707792,3.907449652,5.902209491,1,1,1,0,0,1,1,1
9,pARM1,30,Moderate,3.526408123,2.917774674,1.36195747,4.210132416,4.146451302,1,1,1,1,1,1,1,1
10,pARM1,30,Moderate,3.430810538,2.706186978,2.709264098,3.907449652,5.900633102,1,1,1,0,0,1,1,0
11,pARM1,30,Moderate,2.777169438,3.277776132,1.259045787,3.091869142,4.835783763,0,1,1,1,0,1,0,0
12,pARM1,30,Moderate,3.400735948,4.024160921,2.119547518,4.214708822,5.458990996,1,1,1,1,1,1,0,0
13,pARM1,30,Moderate,2.640898983,3.079409354,0.66838226,3.274407657,3.964108699,1,1,1,1,1,1,1,0
14,pARM1,30,Moderate,3.215340963,3.896141114,1.739487899,4.149008489,4.649722589,1,1,1,1,1,1,1,0
15,pARM1,30,Moderate,1.083273953,4.725612473,4.870673021,5.566519036,3.259806955,1,1,1,0,0,1,1,1
16,pARM1,30,Moderate,1.557396329,3.342642109,4.032485781,4.137871535,8.363118633,1,1,1,0,0,1,0,0
17,pARM1,30,Moderate,2.532546176,2.857041275,2.145483337,3.773704941,3.419867391,1,1,1,1,1,1,1,0
18,pARM1,30,Moderate,2.495316541,3.129442956,5.348332198,5.12205234,7.258880369,1,1,0,1,0,1,1,1
19,pARM1,30,Moderate,1.742148999,2.827968544,2.344770737,3.753820444,3.107891736,1,1,1,1,1,1,1,1
20,pARM1,30,Moderate,1.448383422,3.383103168,3.436926558,4.596449434,5.119185822,1,1,0,1,1,1,0,0
1,TBAS,15,Fast,2.137414105,4.434812482,1.694880711,5.073806226,4.818317601,1,1,0,1,1,1,0,0
2,TBAS,15,Fast,2.410519046,4.434812482,4.317095359,2.790513663,3.969553301,1,1,0,1,1,0,0,0
3,TBAS,15,Fast,3.57023655,5.565760646,1.395781837,6.34007191,6.89697383,1,1,0,1,1,1,0,0
4,TBAS,15,Fast,1.780577846,3.977635271,2.085701697,5.140095324,4.083188674,1,1,0,1,1,1,0,0
5,TBAS,15,Fast,2.570657884,2.828286006,1.394658153,2.732144178,4.231569501,1,1,0,1,1,1,0,1
6,TBAS,15,Fast,2.701703204,2.939402514,3.206079404,3.762892319,4.858771462,1,1,0,1,1,1,1,1
7,TBAS,15,Fast,1.324592949,2.937275371,1.882894871,3.409246438,4.003649662,1,1,0,1,1,1,0,0
8,TBAS,15,Fast,3.909579327,4.009467491,2.178630907,4.510427272,6.133671473,1,1,0,1,1,0,0,0
9,TBAS,15,Fast,2.052106004,5.746854805,0.809610318,6.92718852,5.015457977,1,1,0,1,1,1,0,0
10,TBAS,15,Fast,3.148915348,2.882802916,3.576707441,3.843150683,6.706506597,1,1,0,1,1,1,1,1
11,TBAS,15,Fast,2.554473603,3.562118315,1.258936396,4.512348718,3.485180536,1,1,0,1,1,0,1,0
12,TBAS,15,Fast,2.967493412,4.954069527,1.654386071,6.090019388,4.463799882,1,0,0,1,1,1,1,0
13,TBAS,15,Fast,2.320769615,3.39074326,1.902635775,3.779105424,4.44092061,1,1,0,1,1,1,0,0
14,TBAS,15,Fast,2.59434499,3.390441314,0.882322803,4.104863141,3.657972784,1,1,0,1,1,1,0,0
15,TBAS,15,Fast,1.593302899,3.514868731,2.71888632,3.966154176,3.927127181,1,1,0,1,1,1,0,0
16,TBAS,15,Fast,4.215691446,4.125205792,1.489119035,6.425784751,2.882524922,1,1,0,1,1,1,0,0
17,TBAS,15,Fast,3.810252952,3.146699295,4.982808187,7.729074267,4.129307158,1,1,0,1,1,1,0,0
18,TBAS,15,Fast,2.222202185,4.531979217,3.502715467,5.168111455,6.353594218,1,1,0,1,1,1,0,0
19,TBAS,15,Fast,2.616801148,2.860738187,1.034830783,3.863338869,2.962925039,1,1,0,1,1,0,0,0
20,TBAS,15,Fast,2.052106004,2.551602108,1.314947859,2.57677318,4.266337804,1,1,1,1,1,1,1,1
1,TBAS,30,Fast,4.830206917,2.849093045,1.07832672,5.878779857,4.963069427,1,0,0,1,1,1,1,0
2,TBAS,30,Fast,1.989323849,5.099156667,2.729423382,7.737536707,5.176583007,1,1,0,1,1,1,0,0
3,TBAS,30,Fast,2.888973854,5.322196256,2.88690558,4.420246099,7.107449652,1,1,0,1,1,1,1,0
4,TBAS,30,Fast,2.689590872,4.182707564,2.306669432,4.654978219,4.94890449,1,1,0,1,1,1,0,0
5,TBAS,30,Fast,3.540667929,3.770563079,1.402116354,4.42621843,4.963069427,0,0,0,1,1,1,0,1
6,TBAS,30,Fast,3.153259255,3.770563079,2.572865418,5.471521995,2.757968909,0,0,0,1,1,1,1,0
7,TBAS,30,Fast,1.592176769,2.469940933,3.473297902,3.740631365,3.822119225,1,1,0,1,1,1,0,0
8,TBAS,30,Fast,3.540089598,4.358834056,3.205082723,4.636570184,8.289585511,0,0,0,1,1,1,0,0
9,TBAS,30,Fast,4.03181719,4.806563192,0.620946708,5.097835838,6.212824397,1,0,0,1,1,1,0,0
10,TBAS,30,Fast,3.006817452,3.82959396,3.230096614,4.20196013,6.215347166,1,1,0,1,1,0,1,0
11,TBAS,30,Fast,2.127367661,3.769307093,0.740652629,4.441732996,3.606671729,1,1,0,1,1,1,0,0
12,TBAS,30,Fast,3.13516526,5.047942241,1.24776011,5.748033389,4.474434726,1,1,0,1,1,1,0,0
13,TBAS,30,Fast,3.038052865,3.875463557,0.711525728,4.109812932,3.900188554,1,1,0,1,1,1,1,1
14,TBAS,30,Fast,2.907746321,4.457919981,1.642471258,4.900342299,4.841296014,1,1,0,1,1,1,0,0
15,TBAS,30,Fast,1.968037651,5.106893102,2.706411776,5.921380199,4.42464966,1,1,0,1,1,1,0,0
16,TBAS,30,Fast,1.083273953,2.694693371,2.808118614,6.060689187,4.873545509,0,0,0,1,1,1,1,0
17,TBAS,30,Fast,3.00913847,3.954873318,3.078212451,5.315754929,5.650913302,0,0,0,1,1,1,0,0
18,TBAS,30,Fast,4.499700549,5.199139801,4.116557232,5.667910933,5.792777562,1,1,0,1,1,1,0,0
19,TBAS,30,Fast,2.631980307,3.505339662,3.550996209,3.744631465,6.155781455,1,1,0,1,1,1,1,1
20,TBAS,30,Fast,2.997726492,4.15327151,1.317281313,5.016792951,5.732373768,0,0,0,0,0,0,1,0
1,TBAS,15,Moderate,2.088093976,3.27475527,2.03959328,3.370115121,4.485078856,1,1,0,1,1,1,0,0
2,TBAS,15,Moderate,3.130957221,3.268626844,1.07832672,3.430933109,4.189326853,1,1,0,1,1,0,0,0
3,TBAS,15,Moderate,4.579650585,5.336785679,1.896475559,3.658169482,4.818317601,1,1,0,1,1,1,0,0
4,TBAS,15,Moderate,1.263654957,3.756633945,3.041597064,4.684624442,3.914053724,1,1,0,1,1,1,0,0
5,TBAS,15,Moderate,2.606422813,2.423806082,1.486173398,2.465805599,3.69444145,1,1,0,1,1,1,0,1
6,TBAS,15,Moderate,2.532118718,2.899353216,3.463417024,3.298471968,5.922793462,1,1,0,1,1,1,1,1
7,TBAS,15,Moderate,0.892979601,2.781155321,3.543093847,3.269154334,4.265506179,1,1,0,1,1,1,0,0
8,TBAS,15,Moderate,4.385477829,2.763738193,2.612171635,3.164967615,6.684140137,1,1,0,1,1,0,0,0
9,TBAS,15,Moderate,2.604005148,2.732464111,2.887560456,3.708112807,3.772613353,1,1,0,1,1,1,0,0
10,TBAS,15,Moderate,3.355473118,2.828040683,3.835627117,4.354019497,6.228943066,1,1,0,1,1,1,1,1
11,TBAS,15,Moderate,2.445696824,2.880137958,1.360289699,3.607842999,3.429967752,1,1,0,1,1,0,1,0
12,TBAS,15,Moderate,2.90256283,4.298745869,1.7630414,4.924802692,4.555808512,1,0,0,1,1,1,1,0
13,TBAS,15,Moderate,2.295914194,3.197493156,1.692610378,3.573187076,3.416695105,1,1,0,1,1,1,0,0
14,TBAS,15,Moderate,2.959757734,2.645483254,1.358732099,2.951547069,3.903711913,1,1,0,1,1,1,0,0
15,TBAS,15,Moderate,1.338797355,3.204457541,3.933226454,3.426240867,4.254327378,1,1,0,1,1,1,0,0
16,TBAS,15,Moderate,4.380187435,3.619556751,2.49005995,4.183356964,6.091906656,1,1,0,1,1,1,0,0
17,TBAS,15,Moderate,3.466065376,2.167093312,4.553187474,6.48944728,3.457685644,1,1,0,1,1,1,0,0
18,TBAS,15,Moderate,2.555941663,4.275192342,4.25461022,4.971203401,6.645657484,1,1,0,1,1,1,0,0
19,TBAS,15,Moderate,2.341443044,2.474975727,1.16021711,3.58891666,2.646564381,1,1,0,1,1,0,0,0
20,TBAS,15,Moderate,1.886438359,1.944503506,2.808118614,2.062988209,4.221178878,1,1,1,1,1,0,0,0
1,TBAS,30,Moderate,3.998038832,2.719001782,2.642499606,4.328874331,5.147123582,1,0,0,1,1,1,1,0
2,TBAS,30,Moderate,2.412498707,5.113247976,3.399232887,5.573896816,5.26060409,1,1,0,1,1,1,0,0
3,TBAS,30,Moderate,2.876884346,3.848075887,2.3397243,6.34007191,3.583095913,1,1,0,1,1,1,1,0
4,TBAS,30,Moderate,2.410519046,3.811129854,2.572865418,4.159138827,4.786397439,1,1,0,1,1,1,0,0
5,TBAS,30,Moderate,3.585348129,3.201610951,1.212993342,3.210598773,4.80626956,0,0,0,1,1,1,0,1
6,TBAS,30,Moderate,2.689590872,3.123813245,3.168365792,3.726600761,7.538400743,0,0,0,1,1,1,1,0
7,TBAS,30,Moderate,1.353467213,2.111839231,3.930189453,3.316055178,3.359175925,1,1,0,1,1,1,0,0
8,TBAS,30,Moderate,3.585348129,3.093568532,2.36853186,4.510427272,3.751256409,0,0,0,1,1,1,0,0
9,TBAS,30,Moderate,2.779271894,2.472214726,1.299280015,3.235362919,3.109223287,1,0,0,1,1,1,0,0
10,TBAS,30,Moderate,2.877466268,3.447345818,3.489045552,4.198259442,6.354915558,1,1,0,1,1,0,1,0
11,TBAS,30,Moderate,2.03288681,5.225288384,2.259367182,6.090019388,8.309820975,1,1,0,1,1,1,0,0
12,TBAS,30,Moderate,3.006399838,4.093077876,2.3397243,4.30184983,5.014489356,1,1,0,1,1,1,0,0
13,TBAS,30,Moderate,3.175109795,2.756204191,1.499638445,2.956459638,4.722462761,1,1,0,1,1,1,1,1
14,TBAS,30,Moderate,2.767665017,2.963438843,1.586995281,3.375438118,4.257914128,1,1,0,1,1,1,0,0
15,TBAS,30,Moderate,3.305683319,2.626615592,3.168365792,3.255413898,4.779389978,1,1,0,1,1,1,0,0
16,TBAS,30,Moderate,2.554473603,3.581233085,2.986861086,5.016028703,8.04088637,0,0,0,1,1,1,1,0
17,TBAS,30,Moderate,2.606306655,3.657555349,2.36853186,4.596449434,4.995523932,0,0,0,1,1,1,0,0
18,TBAS,30,Moderate,3.888140024,4.220465568,3.436926558,6.111726311,8.194673586,1,1,0,1,1,1,0,0
19,TBAS,30,Moderate,1.897013498,2.579148656,1.465013456,3.162103143,3.296202952,1,1,1,1,1,0,0,0
20,TBAS,30,Moderate,2.704380163,3.966788272,2.288174667,4.678703321,5.642299736,1,1,1,1,1,0,1,0
